"marca_tiempo";"hora_solar";"acimut";"altura";"cenit";"radiacion_solar_global_horizontal";"radiacion_difusa";"radiacion_directa_horizontal";"radiacion_directa_perpendicular";"radiacion_directa_fachada";"radiacion_global_fachada"
"2021-09-07 13:20:00";"2021-09-07 12:17:05";140,273626620279;83,3826749584998;6,61732504150021;1123;100;1023;1016,18473881367;0;100
"2021-09-07 13:25:00";"2021-09-07 12:22:05";132,950293182558;82,522435152532;7,47756484746795;1222,984619;100;1122,984619;1113,43464005726;0;100
"2021-09-07 13:30:00";"2021-09-07 12:27:05";127,218220997379;81,5650795547336;8,43492044526643;515,9952393;100;415,9952393;411,49546664472;0;100
"2021-09-07 13:35:00";"2021-09-07 12:32:05";122,6971297225;80,5400487445234;9,4599512554766;739,0613403;100;639,0613403;630,370570011487;0;100
"2021-09-07 13:40:00";"2021-09-07 12:37:05";119,084532083277;79,4670839719615;10,5329160280385;1144,998657;100;1044,998657;1027,39048424756;0;100
"2021-09-07 13:45:00";"2021-09-07 12:42:05";116,155572888156;78,3594346230049;11,6405653769951;1171,991943;100;1071,991943;1049,94389992011;0;100
"2021-09-07 13:50:00";"2021-09-07 12:47:05";113,746645785671;77,2261223626156;12,7738776373844;813,9769897;100;713,9769897;696,306245993897;0;100
"2021-09-07 13:55:00";"2021-09-07 12:52:05";111,738824787024;76,0734131564241;13,9265868435759;517,9935913;100;417,9935913;405,706629784526;0;100
"2021-09-07 14:00:00";"2021-09-07 12:57:05";110,04494024444;74,9057525205521;15,0942474794479;347,1951904;100;247,1951904;238,666654944936;0;100
"2021-09-07 14:05:00";"2021-09-07 13:02:05";108,600304864043;73,7263608507012;16,2736391492988;358,0074463;100;258,0074463;247,670202660034;1,69530716520355;101,695307165204
"2021-09-07 14:10:00";"2021-09-07 13:07:05";107,356247242087;72,5376172894581;17,4623827105419;568,9978638;100;468,9978638;447,383709028994;6,1924240442542;106,192424044254
"2021-09-07 14:15:00";"2021-09-07 13:12:05";106,275630041511;71,3413116228349;18,6586883771651;516,0004272;100;416,0004272;394,135944412504;8,19077953131695;108,190779531317
"2021-09-07 14:20:00";"2021-09-07 13:17:05";105,329729690328;70,1388127689069;19,8611872310931;511,0371399;100;411,0371399;386,588029317914;10,6939131869365;110,693913186936
"2021-09-07 14:25:00";"2021-09-07 13:22:05";104,496043201163;68,9311836617459;21,0688163382541;403,9954529;100;303,9954529;283,673152474965;9,78110822132464;109,781108221325
"2021-09-07 14:30:00";"2021-09-07 13:27:05";103,756728296191;67,7192610510669;22,2807389489331;448,9955139;100;348,9955139;322,938541211007;13,3154291842886;113,315429184289
"2021-09-07 14:35:00";"2021-09-07 13:32:05";103,097479763667;66,5037119129962;23,4962880870038;392,0053711;100;292,0053711;267,794010154497;12,8312763129965;112,831276312997
"2021-09-07 14:40:00";"2021-09-07 13:37:05";102,506709585612;65,2850739872601;24,7149260127399;391,0014038;100;291,0014038;264,345468297349;14,4134221185036;114,413422118504
"2021-09-07 14:45:00";"2021-09-07 13:42:05";101,974941148501;64,0637853559105;25,9362146440895;345,0229492;100;245,0229492;220,344608294831;13,4541533622725;113,454153362272
"2021-09-07 14:50:00";"2021-09-07 13:47:05";101,494356198329;62,840206334045;27,159793665955;1032,995605;100;932,995605;830,120631241456;56,0460724682778;156,046072468278
"2021-09-07 14:55:00";"2021-09-07 13:52:05";101,058452114181;61,6146358849444;28,3853641150556;909,9950562;100;809,9950562;712,609382748043;52,6545674659906;152,654567465991
"2021-09-07 15:00:00";"2021-09-07 13:57:05";100,661779808611;60,387324079994;29,612675920006;753,9915161;100;653,9915161;568,570826394704;45,5875816607575;145,587581660758
"2021-09-07 15:05:00";"2021-09-07 14:02:05";100,299741228866;59,1584816637731;30,8415183362269;730,0077515;100;630,0077515;540,917491602284;46,7249489579331;146,724948957933
"2021-09-07 15:10:00";"2021-09-07 14:07:05";99,9684313964139;57,9282874742596;32,0717125257404;591,0020142;100;491,0020142;416,067336573644;38,4828407060947;138,482840706095
"2021-09-07 15:15:00";"2021-09-07 14:12:05";99,6645140730471;56,6968942555165;33,3031057444835;824,9517212;100;724,9517212;605,898409734469;59,6865439266736;159,686543926674
"2021-09-07 15:20:00";"2021-09-07 14:17:05";99,3851230634441;55,4644332526594;34,5355667473406;771,9974365;100;671,9974365;553,574304751776;57,8097447103616;157,809744710362
"2021-09-07 15:25:00";"2021-09-07 14:22:05";99,1277832431973;54,2310178751263;35,7689821248737;742,9993286;100;642,9993286;521,717036478272;57,5200590215858;157,520059021586
"2021-09-07 15:30:00";"2021-09-07 14:27:05";98,8903468965835;52,9967466404005;37,0032533595995;718;100;618;493,535626017214;57,2357430718001;157,2357430718
"2021-09-07 15:35:00";"2021-09-07 14:32:05";98,67094203467;51,7617055571433;38,2382944428567;699;100;599;470,480594025622;57,2035843856327;157,203584385633
"2021-09-07 15:40:00";"2021-09-07 14:37:05";98,4679301612762;50,5259700679805;39,4740299320195;681,0001831;100;581,0001831;448,481486828377;56,9986461217131;156,998646121713
