"marca_tiempo";"voc";"presion sonora";"humedad_relativa_interior";"temperatura_interior";"iluminancia_interior";"pm2.5";"co2_interior";"dispositivos_contectados_wifi";"energia_ventilador_techo";"energia_iluminacion";"energia_enchufes";"energia_agua_refrigerada";"energia_ventilador_ahu";"suministro_aire";"posicion_damper";"setpoint_temperatura";"posicion_valvula_bobina_enfriamiento";"comando_valvula_bobina_enfriamiento";"velocidad_ventilador_ahu";"temperatura_ambiental_offcoil";"setpoint_temperatura_offcoil";"presion_filtro";"humedad_suministro_aire";"presion_suministro_aire";"temperatura_suministro_aire";"presion_barametrica";"temperatura_exterior";"radiacion_solar_global_horizontal";"direccion_viento";"velocidad_viento";"co2_exterior";"humedad_relativa_exterior";"ocupantes_presencia";"ocupantes_conteo"
2021-12-13 01:55:00;20;61,79999924;65,66666412;27,67966652;249,0966644;2,233333349;448,6000061;1;0;0;0,20313;0;0,02148;44,25978851;100;26,5;7,798360348;0;0;25,76587296;17;0;88,48468781;0;26,97320938;1003,799988;25,29999924;0;45,36922455;0,506758153;462,9025879;100;0;0
2021-12-13 02:00:00;20;61,93999863;65,47467041;27,71699905;200,1900024;2,233333349;450,3666687;1;0;0;0;0;0,02149;44,51317596;100;26,5;7,798360348;0;0;25,76587296;17;0;88,48468781;0;26,97320938;1003,799988;25,29999924;0;65,1618576;0,784527481;463,0958862;100;0;0
2021-12-13 02:05:00;20;61,48666763;65,48366547;27,68666649;179,9633331;2,133333445;450,1666565;1;0;0;0,20117;0;0,01757;44,39933395;100;26,5;7,798360348;0;0;25,76587296;17;0;88,48468781;0;26,97320938;1003,799988;25,29999924;0;79,04009247;0,32950452;463,2892456;100;0;0
2021-12-13 02:10:00;20;62,14138031;65,66482544;27,63999939;187,3448334;2,241379261;454,2758484;1;0;0;0;0;0,01563;44,51317596;100;26,5;7,798360348;0;0;25,76587296;17;0;88,48468781;0;26,8740654;1003,799988;25,29999924;0;66,58088684;0,13630791;463,0992126;100;0;0
2021-12-13 02:15:00;20,13333321;61,70666504;65,76833344;27,6123333;176,9299927;2,200000048;460,5333252;1;0;0;0,2041;0;0,01758;50,47319031;100;26,5;7,798360348;0;0;25,76587296;17;0;88,48468781;0;26,8740654;1003,599976;25,29999924;0;345,9528198;0,456024051;463,6758118;100;0;0
2021-12-13 02:20:00;20,73333359;61,66333389;65,70133209;27,60366631;174,8466644;2,333333254;466,4333191;1;0;0;0;0;0,01757;44,51317596;100;26,5;7,798360348;0;0;25,76587296;17;0;88,97368622;0;26,8740654;1003,599976;25,29999924;0;354,0784607;0,484088629;462,8959961;100;0;0
2021-12-13 02:25:00;20,23333359;61,74666595;65,96099854;27,48633385;171,75;2,166666746;467,9333191;1;0;0;0;0;0,01563;50,37425232;100;26,5;7,798360348;0;0;25,76587296;17;0;88,98184967;0;26,8740654;1003,599976;25,29999924;0;207,0057373;0,240996003;462,4961548;100;0;0
2021-12-13 02:30:00;20,60000038;61,82333374;66,23799896;27,35333252;185,8166656;2,200000048;471,2333374;1;0;0;0,20605;0;0,01758;50,47319031;100;26,5;7,798360348;0;0;25,76587296;17;0;88,98184967;0;26,8740654;1003,599976;25,29999924;0;191,0209198;0,142469957;462,9124451;100;0;0
2021-12-13 02:35:00;20,0714283;61,19643021;66,00071716;27,38214302;237,9499969;2,285714388;473,9285583;1;0;0;0;0;0,01758;44,61220932;100;26,5;7,798360348;0;0;25,76587296;17;0;88,98184967;0;26,8740654;1003,400024;25,29999924;0;160,9273682;0,09315715;462,7259521;100;0;0
2021-12-13 02:40:00;52,46666718;61,80333328;65,68333435;27,44466591;246,6199951;2,433333397;478,9333191;1;0;0;0,20703;0;0,01562;50,47319031;100;26,5;7,798360348;0;0;25,76587296;17;0;88,98184967;0;26,8740654;1003,400024;25,39999962;0;274,8159485;0,399340689;463,102478;100;0;0
2021-12-13 02:45:00;62,20000076;61,33333206;65,32499695;27,46800041;238,3466644;2,400000095;481,2000122;1;0;0;0;0;0,01758;44,69832993;100;26,5;7,798360348;0;0;25,61709404;17;0;88,98184967;0;26,77432632;1003,400024;25,39999962;0;10,03688049;0,25999999;463,3023987;100;0;0
2021-12-13 02:50:00;20;61,81999969;65,20066833;27,45533371;253,7766724;2,433333397;473,1666565;1;0;0;0,20508;0;0,01758;55,71206665;100;26,5;7,798360348;0;0;25,61709404;17;0;88,98184967;0;26,77432632;1003,400024;25,30082703;0;9,484333038;0,199089766;463,3123779;100;0;0
